ZONEID,Timestamp,Power
1,20130401 01:00,0.813846154
1,20130401 02:00,0.761794872
1,20130401 03:00,0.736538462
1,20130401 04:00,0.643589744
1,20130401 05:00,0.470769231
1,20130401 06:00,0.260576923
1,20130401 07:00,0.06724359
1,20130401 08:00,0.013846154
1,20130401 09:00,0.000192308
1,20130401 10:00,0
1,20130401 11:00,0
1,20130401 12:00,0
1,20130401 13:00,0
1,20130401 14:00,0
1,20130401 15:00,0
1,20130401 16:00,0
1,20130401 17:00,0
1,20130401 18:00,0
1,20130401 19:00,0
1,20130401 20:00,0
1,20130401 21:00,0.014679487
1,20130401 22:00,0.251923077
1,20130401 23:00,0.615384615
1,20130402 00:00,0.743782051
1,20130402 01:00,0.780064103
1,20130402 02:00,0.77974359
1,20130402 03:00,0.730320513
1,20130402 04:00,0.531730769
1,20130402 05:00,0.458076923
1,20130402 06:00,0.227435897
1,20130402 07:00,0.052820513
1,20130402 08:00,0.013974359
1,20130402 09:00,0.000192308
1,20130402 10:00,0
1,20130402 11:00,0
1,20130402 12:00,0
1,20130402 13:00,0
1,20130402 14:00,0
1,20130402 15:00,0
1,20130402 16:00,0
1,20130402 17:00,0
1,20130402 18:00,0
1,20130402 19:00,0
1,20130402 20:00,0
1,20130402 21:00,0.002564103
1,20130402 22:00,0.038910256
1,20130402 23:00,0.097307692
1,20130403 00:00,0.135897436
1,20130403 01:00,0.178461538
1,20130403 02:00,0.293653846
1,20130403 03:00,0.548205128
1,20130403 04:00,0.385448718
1,20130403 05:00,0.216794872
1,20130403 06:00,0.155064103
1,20130403 07:00,0.081025641
1,20130403 08:00,0.013589744
1,20130403 09:00,6.41E-05
1,20130403 10:00,0
1,20130403 11:00,0
1,20130403 12:00,0
1,20130403 13:00,0
1,20130403 14:00,0
1,20130403 15:00,0
1,20130403 16:00,0
1,20130403 17:00,0
1,20130403 18:00,0
1,20130403 19:00,0
1,20130403 20:00,0
1,20130403 21:00,0.02
1,20130403 22:00,0.21724359
1,20130403 23:00,0.310512821
1,20130404 00:00,0.644423077
1,20130404 01:00,0.309038462
1,20130404 02:00,0.311923077
1,20130404 03:00,0.185128205
1,20130404 04:00,0.263269231
1,20130404 05:00,0.150833333
1,20130404 06:00,0.076474359
1,20130404 07:00,0.081538462
1,20130404 08:00,0.014038462
1,20130404 09:00,6.41E-05
1,20130404 10:00,0
1,20130404 11:00,0
1,20130404 12:00,0
1,20130404 13:00,0
1,20130404 14:00,0
1,20130404 15:00,0
1,20130404 16:00,0
1,20130404 17:00,0
1,20130404 18:00,0
1,20130404 19:00,0
1,20130404 20:00,0
1,20130404 21:00,0.009038462
1,20130404 22:00,0.064615385
1,20130404 23:00,0.17474359
1,20130405 00:00,0.259679487
1,20130405 01:00,0.493974359
1,20130405 02:00,0.555641026
1,20130405 03:00,0.527948718
1,20130405 04:00,0.328397436
1,20130405 05:00,0.362884615
1,20130405 06:00,0.18275641
1,20130405 07:00,0.058333333
1,20130405 08:00,0.015641026
1,20130405 09:00,6.41E-05
1,20130405 10:00,0
1,20130405 11:00,0
1,20130405 12:00,0
1,20130405 13:00,0
1,20130405 14:00,0
1,20130405 15:00,0
1,20130405 16:00,0
1,20130405 17:00,0
1,20130405 18:00,0
1,20130405 19:00,0
1,20130405 20:00,0
1,20130405 21:00,0.010769231
1,20130405 22:00,0.208461538
1,20130405 23:00,0.614166667
1,20130406 00:00,0.738974359
1,20130406 01:00,0.76775641
1,20130406 02:00,0.295384615
1,20130406 03:00,0.411923077
1,20130406 04:00,0.475833333
1,20130406 05:00,0.555448718
1,20130406 06:00,0.201666667
1,20130406 07:00,0.047820513
1,20130406 08:00,0.011217949
1,20130406 09:00,0
1,20130406 10:00,0
1,20130406 11:00,0
1,20130406 12:00,0
1,20130406 13:00,0
1,20130406 14:00,0
1,20130406 15:00,0
1,20130406 16:00,0
1,20130406 17:00,0
1,20130406 18:00,0
1,20130406 19:00,0
1,20130406 20:00,0
1,20130406 21:00,0.012051282
1,20130406 22:00,0.195705128
1,20130406 23:00,0.607307692
1,20130407 00:00,0.726538462
1,20130407 01:00,0.773782051
1,20130407 02:00,0.761282051
1,20130407 03:00,0.545897436
1,20130407 04:00,0.615064103
1,20130407 05:00,0.464230769
1,20130407 06:00,0.15224359
1,20130407 07:00,0.048910256
1,20130407 08:00,0.013653846
1,20130407 09:00,6.41E-05
1,20130407 10:00,0
1,20130407 11:00,0
1,20130407 12:00,0
1,20130407 13:00,0
1,20130407 14:00,0
1,20130407 15:00,0
1,20130407 16:00,0
1,20130407 17:00,0
1,20130407 18:00,0
1,20130407 19:00,0
1,20130407 20:00,0
1,20130407 21:00,0.015961538
1,20130407 22:00,0.193974359
1,20130407 23:00,0.600512821
1,20130408 00:00,0.713910256
1,20130408 01:00,0.731730769
1,20130408 02:00,0.722564103
1,20130408 03:00,0.614102564
1,20130408 04:00,0.513269231
1,20130408 05:00,0.289102564
1,20130408 06:00,0.163846154
1,20130408 07:00,0.066602564
1,20130408 08:00,0.008525641
1,20130408 09:00,0
1,20130408 10:00,0
1,20130408 11:00,0
1,20130408 12:00,0
1,20130408 13:00,0
1,20130408 14:00,0
1,20130408 15:00,0
1,20130408 16:00,0
1,20130408 17:00,0
1,20130408 18:00,0
1,20130408 19:00,0
1,20130408 20:00,0
1,20130408 21:00,0.011474359
1,20130408 22:00,0.181666667
1,20130408 23:00,0.605641026
1,20130409 00:00,0.726923077
1,20130409 01:00,0.774551282
1,20130409 02:00,0.770641026
1,20130409 03:00,0.716987179
1,20130409 04:00,0.609935897
1,20130409 05:00,0.4425
1,20130409 06:00,0.253846154
1,20130409 07:00,0.045833333
1,20130409 08:00,0.006666667
1,20130409 09:00,0
1,20130409 10:00,0
1,20130409 11:00,0
1,20130409 12:00,0
1,20130409 13:00,0
1,20130409 14:00,0
1,20130409 15:00,0
1,20130409 16:00,0
1,20130409 17:00,0
1,20130409 18:00,0
1,20130409 19:00,0
1,20130409 20:00,0
1,20130409 21:00,0.009487179
1,20130409 22:00,0.070320513
1,20130409 23:00,0.455576923
1,20130410 00:00,0.714423077
1,20130410 01:00,0.76275641
1,20130410 02:00,0.759102564
1,20130410 03:00,0.669487179
1,20130410 04:00,0.289551282
1,20130410 05:00,0.346730769
1,20130410 06:00,0.249358974
1,20130410 07:00,0.077115385
1,20130410 08:00,0.010320513
1,20130410 09:00,0
1,20130410 10:00,0
1,20130410 11:00,0
1,20130410 12:00,0
1,20130410 13:00,0
1,20130410 14:00,0
1,20130410 15:00,0
1,20130410 16:00,0
1,20130410 17:00,0
1,20130410 18:00,0
1,20130410 19:00,0
1,20130410 20:00,0
1,20130410 21:00,0.012115385
1,20130410 22:00,0.15275641
1,20130410 23:00,0.567628205
1,20130411 00:00,0.699423077
1,20130411 01:00,0.751923077
1,20130411 02:00,0.072115385
1,20130411 03:00,0
1,20130411 04:00,0.000128205
1,20130411 05:00,0.299358974
1,20130411 06:00,0.204871795
1,20130411 07:00,0.055
1,20130411 08:00,0.009038462
1,20130411 09:00,0
1,20130411 10:00,0
1,20130411 11:00,0
1,20130411 12:00,0
1,20130411 13:00,0
1,20130411 14:00,0
1,20130411 15:00,0
1,20130411 16:00,0
1,20130411 17:00,0
1,20130411 18:00,0
1,20130411 19:00,0
1,20130411 20:00,0
1,20130411 21:00,0.011730769
1,20130411 22:00,0.144102564
1,20130411 23:00,0.554487179
1,20130412 00:00,0.683141026
1,20130412 01:00,0.743269231
1,20130412 02:00,0.757692308
1,20130412 03:00,0.669102564
1,20130412 04:00,0.593076923
1,20130412 05:00,0.436923077
1,20130412 06:00,0.221666667
1,20130412 07:00,0.050192308
1,20130412 08:00,0.008205128
1,20130412 09:00,0
1,20130412 10:00,0
1,20130412 11:00,0
1,20130412 12:00,0
1,20130412 13:00,0
1,20130412 14:00,0
1,20130412 15:00,0
1,20130412 16:00,0
1,20130412 17:00,0
1,20130412 18:00,0
1,20130412 19:00,0
1,20130412 20:00,0
1,20130412 21:00,0.010512821
1,20130412 22:00,0.139487179
1,20130412 23:00,0.589615385
1,20130413 00:00,0.721217949
1,20130413 01:00,0.752051282
1,20130413 02:00,0.569807692
1,20130413 03:00,0.731858974
1,20130413 04:00,0.501858974
1,20130413 05:00,0.366089744
1,20130413 06:00,0.176858974
1,20130413 07:00,0.064615385
1,20130413 08:00,0.010192308
1,20130413 09:00,0
1,20130413 10:00,0
1,20130413 11:00,0
1,20130413 12:00,0
1,20130413 13:00,0
1,20130413 14:00,0
1,20130413 15:00,0
1,20130413 16:00,0
1,20130413 17:00,0
1,20130413 18:00,0
1,20130413 19:00,0
1,20130413 20:00,0
1,20130413 21:00,0.009935897
1,20130413 22:00,0.127820513
1,20130413 23:00,0.423846154
1,20130414 00:00,0.611602564
1,20130414 01:00,0.581346154
1,20130414 02:00,0.56525641
1,20130414 03:00,0.490705128
1,20130414 04:00,0.429358974
1,20130414 05:00,0.266794872
1,20130414 06:00,0.131730769
1,20130414 07:00,0.069294872
1,20130414 08:00,0.006474359
1,20130414 09:00,0
1,20130414 10:00,0
1,20130414 11:00,0
1,20130414 12:00,0
1,20130414 13:00,0
1,20130414 14:00,0
1,20130414 15:00,0
1,20130414 16:00,0
1,20130414 17:00,0
1,20130414 18:00,0
1,20130414 19:00,0
1,20130414 20:00,0
1,20130414 21:00,0.004679487
1,20130414 22:00,0.049230769
1,20130414 23:00,0.130576923
1,20130415 00:00,0.205192308
1,20130415 01:00,0.243846154
1,20130415 02:00,0.162307692
1,20130415 03:00,0.666346154
1,20130415 04:00,0.595
1,20130415 05:00,0.205512821
1,20130415 06:00,0.165641026
1,20130415 07:00,0.073974359
1,20130415 08:00,0.007628205
1,20130415 09:00,0
1,20130415 10:00,0
1,20130415 11:00,0
1,20130415 12:00,0
1,20130415 13:00,0
1,20130415 14:00,0
1,20130415 15:00,0
1,20130415 16:00,0
1,20130415 17:00,0
1,20130415 18:00,0
1,20130415 19:00,0
1,20130415 20:00,0
1,20130415 21:00,0.000641026
1,20130415 22:00,0.029679487
1,20130415 23:00,0.117051282
1,20130416 00:00,0.207820513
1,20130416 01:00,0.257884615
1,20130416 02:00,0.231538462
1,20130416 03:00,0.386987179
1,20130416 04:00,0.435064103
1,20130416 05:00,0.16025641
1,20130416 06:00,0.185641026
1,20130416 07:00,0.052435897
1,20130416 08:00,0.005897436
1,20130416 09:00,0
1,20130416 10:00,0
1,20130416 11:00,0
1,20130416 12:00,0
1,20130416 13:00,0
1,20130416 14:00,0
1,20130416 15:00,0
1,20130416 16:00,0
1,20130416 17:00,0
1,20130416 18:00,0
1,20130416 19:00,0
1,20130416 20:00,0
1,20130416 21:00,0.010192308
1,20130416 22:00,0.109358974
1,20130416 23:00,0.338846154
1,20130417 00:00,0.507628205
1,20130417 01:00,0.780128205
1,20130417 02:00,0.756282051
1,20130417 03:00,0.428333333
1,20130417 04:00,0.53974359
1,20130417 05:00,0.374230769
1,20130417 06:00,0.153141026
1,20130417 07:00,0.076025641
1,20130417 08:00,0.008525641
1,20130417 09:00,0
1,20130417 10:00,0
1,20130417 11:00,0
1,20130417 12:00,0
1,20130417 13:00,0
1,20130417 14:00,0
1,20130417 15:00,0
1,20130417 16:00,0
1,20130417 17:00,0
1,20130417 18:00,0
1,20130417 19:00,0
1,20130417 20:00,0
1,20130417 21:00,0.007628205
1,20130417 22:00,0.092371795
1,20130417 23:00,0.564551282
1,20130418 00:00,0.702884615
1,20130418 01:00,0.776538462
1,20130418 02:00,0.6675
1,20130418 03:00,0.349230769
1,20130418 04:00,0.123525641
1,20130418 05:00,0.140961538
1,20130418 06:00,0.091474359
1,20130418 07:00,0.062115385
1,20130418 08:00,0.006794872
1,20130418 09:00,0
1,20130418 10:00,0
1,20130418 11:00,0
1,20130418 12:00,0
1,20130418 13:00,0
1,20130418 14:00,0
1,20130418 15:00,0
1,20130418 16:00,0
1,20130418 17:00,0
1,20130418 18:00,0
1,20130418 19:00,0
1,20130418 20:00,0
1,20130418 21:00,0.01025641
1,20130418 22:00,0.204487179
1,20130418 23:00,0.6425
1,20130419 00:00,0.790320513
1,20130419 01:00,0.865769231
1,20130419 02:00,0.852435897
1,20130419 03:00,0.688846154
1,20130419 04:00,0.528076923
1,20130419 05:00,0.331089744
1,20130419 06:00,0.258076923
1,20130419 07:00,0.068012821
1,20130419 08:00,0.005064103
1,20130419 09:00,0
1,20130419 10:00,0
1,20130419 11:00,0
1,20130419 12:00,0
1,20130419 13:00,0
1,20130419 14:00,0
1,20130419 15:00,0
1,20130419 16:00,0
1,20130419 17:00,0
1,20130419 18:00,0
1,20130419 19:00,0
1,20130419 20:00,0
1,20130419 21:00,0.002371795
1,20130419 22:00,0.067692308
1,20130419 23:00,0.57025641
1,20130420 00:00,0.78724359
1,20130420 01:00,0.621987179
1,20130420 02:00,0.740641026
1,20130420 03:00,0.631346154
1,20130420 04:00,0.399423077
1,20130420 05:00,0.190384615
1,20130420 06:00,0.220897436
1,20130420 07:00,0.04224359
1,20130420 08:00,0.003653846
1,20130420 09:00,0
1,20130420 10:00,0
1,20130420 11:00,0
1,20130420 12:00,0
1,20130420 13:00,0
1,20130420 14:00,0
1,20130420 15:00,0
1,20130420 16:00,0
1,20130420 17:00,0
1,20130420 18:00,0
1,20130420 19:00,0
1,20130420 20:00,0
1,20130420 21:00,0.009935897
1,20130420 22:00,0.195448718
1,20130420 23:00,0.606025641
1,20130421 00:00,0.734294872
1,20130421 01:00,0.783141026
1,20130421 02:00,0.775769231
1,20130421 03:00,0.722628205
1,20130421 04:00,0.614102564
1,20130421 05:00,0.432628205
1,20130421 06:00,0.163141026
1,20130421 07:00,0.047435897
1,20130421 08:00,0.004807692
1,20130421 09:00,0
1,20130421 10:00,0
1,20130421 11:00,0
1,20130421 12:00,0
1,20130421 13:00,0
1,20130421 14:00,0
1,20130421 15:00,0
1,20130421 16:00,0
1,20130421 17:00,0
1,20130421 18:00,0
1,20130421 19:00,0
1,20130421 20:00,0
1,20130421 21:00,0.000641026
1,20130421 22:00,0.01525641
1,20130421 23:00,0.140064103
1,20130422 00:00,0.282051282
1,20130422 01:00,0.605897436
1,20130422 02:00,0.19474359
1,20130422 03:00,0.1875
1,20130422 04:00,0.211858974
1,20130422 05:00,0.249294872
1,20130422 06:00,0.096089744
1,20130422 07:00,0.055064103
1,20130422 08:00,0.004679487
1,20130422 09:00,0
1,20130422 10:00,0
1,20130422 11:00,0
1,20130422 12:00,0
1,20130422 13:00,0
1,20130422 14:00,0
1,20130422 15:00,0
1,20130422 16:00,0
1,20130422 17:00,0
1,20130422 18:00,0
1,20130422 19:00,0
1,20130422 20:00,0
1,20130422 21:00,0.008782051
1,20130422 22:00,0.188910256
1,20130422 23:00,0.576282051
1,20130423 00:00,0.726025641
1,20130423 01:00,0.593076923
1,20130423 02:00,0.200576923
1,20130423 03:00,0.481025641
1,20130423 04:00,0.200576923
1,20130423 05:00,0.218782051
1,20130423 06:00,0.126025641
1,20130423 07:00,0.033012821
1,20130423 08:00,0.003653846
1,20130423 09:00,0
1,20130423 10:00,0
1,20130423 11:00,0
1,20130423 12:00,0
1,20130423 13:00,0
1,20130423 14:00,0
1,20130423 15:00,0
1,20130423 16:00,0
1,20130423 17:00,0
1,20130423 18:00,0
1,20130423 19:00,0
1,20130423 20:00,0
1,20130423 21:00,0.008846154
