ZONEID,TIMESTAMP,POWER
1,20120401 01:00,0.754102564
1,20120401 02:00,0.555
1,20120401 03:00,0.438397436
1,20120401 04:00,0.145448718
1,20120401 05:00,0.111987179
1,20120401 06:00,0.05724359
1,20120401 07:00,0.088717949
1,20120401 08:00,0.030064103
1,20120401 09:00,0.000128205
1,20120401 10:00,0
1,20120401 11:00,0
1,20120401 12:00,0
1,20120401 13:00,0
1,20120401 14:00,0
1,20120401 15:00,0
1,20120401 16:00,0
1,20120401 17:00,0
1,20120401 18:00,0
1,20120401 19:00,0
1,20120401 20:00,0
1,20120401 21:00,0.006346154
1,20120401 22:00,0.071538462
1,20120401 23:00,0.229166667
1,20120402 00:00,0.346474359
1,20120402 01:00,0.656858974
1,20120402 02:00,0.771410256
1,20120402 03:00,0.613782051
1,20120402 04:00,0.554807692
1,20120402 05:00,0.458910256
1,20120402 06:00,0.198269231
1,20120402 07:00,0.085064103
1,20120402 08:00,0.011474359
1,20120402 09:00,0.000128205
1,20120402 10:00,0
1,20120402 11:00,0
1,20120402 12:00,0
1,20120402 13:00,0
1,20120402 14:00,0
1,20120402 15:00,0
1,20120402 16:00,0
1,20120402 17:00,0
1,20120402 18:00,0
1,20120402 19:00,0
1,20120402 20:00,0
1,20120402 21:00,0.015
1,20120402 22:00,0.086282051
1,20120402 23:00,0.31525641
1,20120403 00:00,0.514551282
1,20120403 01:00,0.734615385
1,20120403 02:00,0.67525641
1,20120403 03:00,0.618910256
1,20120403 04:00,0.514166667
1,20120403 05:00,0.436474359
1,20120403 06:00,0.248397436
1,20120403 07:00,0.072051282
1,20120403 08:00,0.012628205
1,20120403 09:00,0.000128205
1,20120403 10:00,0
1,20120403 11:00,0
1,20120403 12:00,0
1,20120403 13:00,0
1,20120403 14:00,0
1,20120403 15:00,0
1,20120403 16:00,0
1,20120403 17:00,0
1,20120403 18:00,0
1,20120403 19:00,0
1,20120403 20:00,0
1,20120403 21:00,0.016730769
1,20120403 22:00,0.213653846
1,20120403 23:00,0.565384615
1,20120404 00:00,0.708782051
1,20120404 01:00,0.754102564
1,20120404 02:00,0.745897436
1,20120404 03:00,0.68275641
1,20120404 04:00,0.521025641
1,20120404 05:00,0.338461538
1,20120404 06:00,0.209935897
